surname,strength,surname_clean,surname_eng
गणी,6,गणी,Gani
गदीम,1,गदीम,Gadim
गनि,1,गनि,Gani
गनी,67,गनी,Gani
गन्‍नी,2,गन्नी,Ganni
गप्फार,1,गप्फार,Gapfar
गफफार,5,गफफार,Gaffar
गफफ्र,1,गफफ्र,Gaffra
गफर,1,गफर,Gafar
गफ़ार,2,गफ़ार,Gafar
गफ़ूर,1,गफ़ूर,Gafoor
गफ़्फ़ार,1,गफ़्फ़ार,Gaffar
गफार,35,गफार,Gafar
गफुफार,6,गफुफार,Gafufar
गफुर,21,गफुर,Gafur
गफूर,26,गफूर,Gafoor
गफ्फार,17,गफ्फार,Gaffar
गफ्फुर,2,गफ्फुर,Gaffur
गब्बर,1,गब्बर,Gabbar
गयाश,2,गयाश,Gayash
गयास,1,गयास,Gayas
गयासउदीन,2,गयासउदीन,Gayasudin
गयासउद्दीन,1,गयासउद्दीन,Gayasuddin
गयासमलिक,1,गयासमलिक,Gayasamlik
गराय,1,गराय,Garay
गवास्कर,1,गवास्कर,Gavaskar
गसिम,1,गसिम,Gasim
गसीम,1,गसीम,Gasim
गहुकर,1,गहुकर,Gahukar
ग़फ़ूर,1,ग़फ़ूर,Ghafoor
गाँधी,2,गाँधी,Gandhi
गांधी,1,गांधी,Gandhi
गाणी,4,गाणी,Gani
गासिम,2,गासिम,Gasim
गासीम,1,गासीम,Gasim
गिनी,1,गिनी,Gini
गिर,9,गिर,Gir
गिराज,3,गिराज,Giraj
गिरि,4,गिरि,Giri
गिरी,89,गिरी,Giri
गिर्सलम,1,गिर्सलम,Girslam
गिलानी,7,गिलानी,Gilani
गीर,5,गीर,Gir
गीरी,1,गीरी,Geeri
गीलानी,2,गीलानी,Gilani
गुड़्डू,1,गुड़्डू,Guddu
गुड्डू,4,गुड्डू,Guddu
गुड्धू,1,गुड्धू,Guddhu
गुपता,1,गुपता,Gupta
गुप्त,4,गुप्त,Gupt
गुप्ता,355,गुप्ता,Gupta
गुफरान,5,गुफरान,Gufran
गुल,1,गुल,Gul
गुलजार,3,गुलजार,Gulzar
गुलसन,1,गुलसन,Gulsan
गुलाब,2,गुलाब,Gulab
गुलाम,13,गुलाम,Gulam
गेराई,1,गेराई,Gerai
गैयाश,1,गैयाश,Gaiyash
गैयास,2,गैयास,Gaiyas
गैयासुद्दीन,1,गैयासुद्दीन,Geiasuddin
गैराई,9,गैराई,Gairai
गो,1,गो,Go
गोप,184,गोप,Gope
गोपाल,3,गोपाल,Gopal
गोपी,1,गोपी,Gopi
गोबिन,1,गोबिन,Gobin
गोला,3,गोला,Gola
गोल्डन,2,गोल्डन,Golden
गोसाइ,1,गोसाइ,Gosai
गोसाई,12,गोसाई,Gosai
गोसाईं,4,गोसाईं,Gosain
गोस्व,1,गोस्व,Gosv
गोस्वमी,5,गोस्वमी,Goswami
गोस्वामी,75,गोस्वामी,Goswami
गोस्व्वामी,2,गोस्व्वामी,Goswwami
गौतम,6,गौतम,Goutham
गौतमेन्द्र,1,गौतमेन्द्र,Gautmendra
गौरब,1,गौरब,Gourab
गौरव,22,गौरव,Gaurav
गौश,1,गौश,Gaush
गौस,2,गौस,Gaus
गौसवामी,1,गौसवामी,Gauswami
गौस्वामी,34,गौस्वामी,Gausvami
ग्फुर,1,ग्फुर,Gfur
ग्यादव,1,ग्यादव,Gyadav
ग्यास,12,ग्यास,Gyas
ग्यासउद्दीन,1,ग्यासउद्दीन,Gyasauddin
ग्यासुद्दीन,1,ग्यासुद्दीन,Gyasuddin
ग्रादव,1,ग्रादव,Gradav
ग्वादव,1,ग्वादव,Gvadav
ग्ू,1,ग्ू,Goo
घटवार,21,घटवार,Ghatwar
घाछालम,1,घाछालम,Ghachalam
घोबी,9,घोबी,Ghobi
घोवी,2,घोवी,Ghovi
घोष,1,घोष,Ghose
चंद,7,चंद,Chand
चंदन,1,चंदन,Chandan
चंदराम,1,चंदराम,Chandram
चंदु,2,चंदु,Chandu
चंदू,4,चंदू,Chandu
चंद्र,1,चंद्र,Chandra
चंद्रवंशी,2,चंद्रवंशी,Chandravanshi
चंद्रिका,1,चंद्रिका,Chandrika
चकऊचन,1,चकऊचन,Chakuchan
चकवर्ती,1,चकवर्ती,Chakvarti
चकोर,1,चकोर,Chakor
चकौर,4,चकौर,Chakaur
चक्रवती,3,चक्रवती,Chakravati
चक्रवर्ती,16,चक्रवर्ती,Chakravarthy
चक्रवाती,1,चक्रवाती,Chakravati
चघरी,3,चघरी,Chaghri
चन्द,3,चन्द,Chand
चन्दन,3,चन्दन,Chandan
चन्दर्वशी,1,चन्दर्वशी,Chandarvashi
चन्दू,3,चन्दू,Chandu
चन्द्र,16,चन्द्र,Chandra
चन्द्रकान्त,1,चन्द्रकान्त,Chandrakant
चन्द्रवंशी,4,चन्द्रवंशी,Chandravanshi
चन्द्रवाशी,1,चन्द्रवाशी,Chandravashi
चन्द्रसाव,1,चन्द्रसाव,Chandrasav
चन्द्रहास्य,1,चन्द्रहास्य,Chandrahasya
चन्द्रा,2,चन्द्रा,Chandra
चमारी,2,चमारी,Chamari
चरण,4,चरण,Charan
चरसिया,1,चरसिया,Charsiya
चाँद,13,चाँद,Chand
चांद,5,चांद,Chand
चाएँधरी,1,चाएँधरी,Chaendhari
चाघरी,1,चाघरी,Chaghari
चादव,1,चादव,Chadav
चाहोन,1,चाहोन,Chahon
चुअसिया,1,चुअसिया,Chuasia
चुघ्री,2,चुघ्री,Chughri
चुडीफरोस,2,चुडीफरोस,Chudifaros
चुदिफ्रिसोह,1,चुदिफ्रिसोह,Chudifrisoh
चुदिफ्रोश,2,चुदिफ्रोश,Chudifrosh
चुधरी,1,चुधरी,Chudhari
चुधारी,1,चुधारी,Chudhari
चुनु,1,चुनु,Chunu
चुरिफरोश,1,चुरिफरोश,Churifrosh
चुल्हन,1,चुल्हन,Chulhan
चुल्हनर,1,चुल्हनर,Chulhaner
चुहान,1,चुहान,Chuhan
चूड़ीफरोश,1,चूड़ीफरोश,Choodipharosh
चूडीफरोश,1,चूडीफरोश,Choodifrosh
चूल्हे,1,चूल्हे,Choolhe
चैघरी,1,चैघरी,Chaighari
चैधरी,2,चैधरी,Chaidhri
चैधुरी,1,चैधुरी,Chaidhuri
चैरसिया,1,चैरसिया,Chairasiya
चॉद,1,चॉद,Chod
चोएँघरी,5,चोएँघरी,Choenghari
चोएँधरी,4,चोएँधरी,Choendhari
चोएैधघरी,1,चोएैधघरी,Choedhaighari
चोएैधरी,2,चोएैधरी,Choedhairi
चोघरी,13,चोघरी,Choghari
चोठैघरी,2,चोठैघरी,Chothaighari
चोठैरसिया,1,चोठैरसिया,Chothairasiya
चोधरी,22,चोधरी,Chodhry
चोरसिया,3,चोरसिया,Chorasiya
चोरसीया,1,चोरसीया,Chorsiya
चोरासिया,1,चोरासिया,Chorasia
चोहान,4,चोहान,Chohan
चो०,1,चो,Cho
चौ,1,चौ,Chow
चौंघरी,1,चौंघरी,Chaunghari
चौघर,4,चौघर,Chaughar
चौघरी,758,चौघरी,Choughary
चौघरी',2,चौघरी,Choughary
चौघुरी,2,चौघुरी,Choughuri
चौचंद,2,चौचंद,Chauchand
चौच्हन,2,चौच्हन,Chauchhan
चौठान,1,चौठान,Chowthan
चौढान,1,चौढान,Chaudhan
चौदरी,8,चौदरी,Choudary
चौदरेय,1,चौदरेय,Choudrey
चौदहरी,4,चौदहरी,Chowdahari
चौदही,3,चौदही,Chaudahi
चौदारू,1,चौदारू,Chaudaru
चौधग्री,1,चौधग्री,Chaudhgri
चौधन,3,चौधन,Chaudhan
चौधरी,7739,चौधरी,Choudhary
चौधरीएं,1,चौधरीएं,Chaudharien
चौधरीएु,1,चौधरीएु,Chaudhariyeu
चौधरीश,1,चौधरीश,Chaudhrish
चौधारी,7,चौधारी,Chowdhary
चौधिरी,1,चौधिरी,Chowdhiri
चौधुरी,1,चौधुरी,Choudhury
चौधोरी,3,चौधोरी,Chowdhory
चौबे,5,चौबे,Choubey
चौरशिया,2,चौरशिया,Chaurashiya
चौरसया,2,चौरसया,Chaurasaya
चौरसिया,595,चौरसिया,Chaurasiya
चौरसियाठि,1,चौरसियाठि,Chaurasiyathi
चौरसीया,28,चौरसीया,Chaurasiya
चौराशिया,4,चौराशिया,Chaurashiya
चौरासिया,4,चौरासिया,Chaurasiya
चौरिसया,1,चौरिसया,Chaurisya
चौरिसिया,3,चौरिसिया,Chaurisiya
चौरीया,1,चौरीया,Chouriya
चौसरिया,1,चौसरिया,Chausariya
चौहंफ़,1,चौहंफ़,Chauhanf
चौहन,11,चौहन,Chauhn
चौहा,6,चौहा,Chauha
चौहान,3378,चौहान,Chauhan
चौहार,1,चौहार,Chauhar
चौहाल,1,चौहाल,Chauhal
छकुमार,1,छकुमार,Chhakumar
छकेठयुम,1,छकेठयुम,Chakethayum
छगुप्ता,1,छगुप्ता,Chagupta
छठाकुर,1,छठाकुर,Chathakur
छान्ति,1,छान्ति,Chanti
छाम,1,छाम,Cham
छासम,1,छासम,Chasam
छासाव,1,छासाव,Chasav
छि0',1,छि,Chhi
छिएमस्त्री,1,छिएमस्त्री,Chiemastri
छिएसंन्हा,1,छिएसंन्हा,Chiesannha
छिएसंह,2,छिएसंह,Chiesanh
छिएसत्रह,1,छिएसत्रह,Chiestrah
छिएसह,3,छिएसह,Chieseh
छितु,1,छितु,Chitu
छु,1,छु,Chu
छुअलि,1,छुअलि,Chuali
छुआलम,1,छुआलम,Chualam
छुउदीन,1,छुउदीन,Chuudin
छुउद्दीन,1,छुउद्दीन,Chuuddin
छुकुमार,9,छुकुमार,Chukumar
छुचौघरी,1,छुचौघरी,Chuchaughari
छुचौधरी,1,छुचौधरी,Chuchaudhari
छुपाण्डेय,1,छुपाण्डेय,Chupandeya
छुप्रसाद,5,छुप्रसाद,Chuprasad
छुबारिफ,1,छुबारिफ,Chubarif
छुमहतों,1,छुमहतों,Chumhaton
छुमार,1,छुमार,Chumar
छुमियां,1,छुमियां,Chhumiyan
छुयादव,4,छुयादव,Chuadav
छुराउत,1,छुराउत,Churaut
छुराम,1,छुराम,Churam
छुलाल,1,छुलाल,Chulal
छुशर्मा,1,छुशर्मा,Chusharma
छुसाव,2,छुसाव,Chhusav
छुसिंह,2,छुसिंह,Chusingh
छुहुसैन,1,छुहुसैन,Chuhusain
छेकुमार,3,छेकुमार,Chekumar
छेकृदुमार,1,छेकृदुमार,Chekridumar
छेमहतों,1,छेमहतों,Chemhaton
छेयादव,1,छेयादव,Chheyadav
छोट,2,छोट,Chhot
छोटन,3,छोटन,Chotan
छोटा,2,छोटा,Chhota
छोटू,3,छोटू,Chotu
जंग,2,जंग,Jung
जंदी,1,जंदी,Jandi
जक,1,जक,Jak
जकिर,4,जकिर,Jakir
जकीर,13,जकीर,Jakeer
जगत,2,जगत,Jagat
जनत,1,जनत,Janat
जनार,1,जनार,Janar
जनी,1,जनी,Jani
जफर,6,जफर,Jafar
जफरुल्‍्लाह,1,जफरुल््लाह,Jafarullah
जफल्‍्लाह,1,जफल््लाह,Jafallah
जफ़र,2,जफ़र,Jafar
जफार,1,जफार,Jafar
जफिर,2,जफिर,Jafir
जफीर,13,जफीर,Jafir
जफीरा,1,जफीरा,Jafira
जबबार,2,जबबार,Jababar
जबवार,1,जबवार,Jabwar
जबार,1,जबार,Jabar
जब्बर,4,जब्बर,Jabbar
जब्बार,66,जब्बार,Jabbar
जब्वार,5,जब्वार,Jabwar
जमदार,4,जमदार,Jamdar
जमशेद,2,जमशेद,Jamshed
जमशैद,3,जमशैद,Jamshed
जमसैद,1,जमसैद,Jamsaid
जमा,4,जमा,Jama
जमाँ,1,जमाँ,Jaman
जमादार,88,जमादार,Jamadar
जमाराद,1,जमाराद,Jamarad
जमाल,64,जमाल,Jamal
जमालउदीन,4,जमालउदीन,Jamaludin
जमालउद्दीन,2,जमालउद्दीन,Jamaluddin
जमालुद्दीन,2,जमालुद्दीन,Jamaluddin
जमाह,1,जमाह,Jamah
जमीदर,1,जमीदर,Jamidar
जमीर,10,जमीर,Jamir
जमीरुद्दीन,1,जमीरुद्दीन,Jamiruddin
जमील,14,जमील,Jamiel
जमेदार,3,जमेदार,Jamedar
जमैदार,2,जमैदार,Jamaidar
जम्मिरुदूदीन,1,जम्मिरुदूदीन,Jammirududin
जयन्त,1,जयन्त,Jayant
जयाउददीन,1,जयाउददीन,Jayauddin
जयाउदीन,3,जयाउदीन,Jayaudeen
जयाउद्दीन,2,जयाउद्दीन,Jayauddin
जरराह,1,जरराह,Jararah
जरह,2,जरह,Jarah
जरोह,3,जरोह,Jaroh
जर्रा,5,जर्रा,Jarra
जर्रां,1,जर्रां,Jarran
जलाद,1,जलाद,Jalad
जलान,1,जलान,Jalan
जलाल,7,जलाल,Jalal
जलालउद्दीन,1,जलालउद्दीन,Jalaluddin
जलालरखीँ,1,जलालरखीँ,Jalalarkhin
जलीम,1,जलीम,Jalim
जलील,28,जलील,Jalil
जलोटा,2,जलोटा,Jalota
जवर,4,जवर,Javar
जववार,2,जववार,Javavar
जवाँ,1,जवाँ,Javan
जवार,8,जवार,Jawar
जविद,1,जविद,Javid
जविर,1,जविर,Javir
जवैद्मिया,1,जवैद्मिया,Javaidmiya
जव्बार,1,जव्बार,Javbar
जव्वार,3,जव्वार,Javvar
जशिम,2,जशिम,Jashim
जसिम,2,जसिम,Jasim
जसिमुद्दीन,1,जसिमुद्दीन,Jasimuddin
जसीम,22,जसीम,Jaseem
जसीमअख्तर,1,जसीमअख्तर,Jaseemakhtar
जसीमउद्दीन,1,जसीमउद्दीन,Jaseemuddin
जसीमुद्दीन,1,जसीमुद्दीन,Jaseemuddin
जहंगीर,2,जहंगीर,Jahngir
जहर,1,जहर,Jahr
जहाँ,1,जहाँ,Jahan
जहाँगीर,28,जहाँगीर,Jahangir
जहांगीर,22,जहांगीर,Jahangir
जहागिन,1,जहागिन,Jahagin
जहागीर,5,जहागीर,Jahagir
जहीँगीर,1,जहीँगीर,Jahingir
जहीर,15,जहीर,Jaheer
जहीरउदीन,1,जहीरउदीन,Jahirudin
ज़फरुदुदीन,1,ज़फरुदुदीन,Zafarududin
ज़फ़रुदूदीन,1,ज़फ़रुदूदीन,Zafarududin
ज़फ़रुल्ला,1,ज़फ़रुल्ला,Zafarulla
ज़फ़रुल्लाह,1,ज़फ़रुल्लाह,Zafarullah
ज़फीर,1,ज़फीर,Zafir
ज़ाहिद,1,ज़ाहिद,Zahid
ज़ियाउल,1,ज़ियाउल,Ziaul
ज़ुबेर,1,ज़ुबेर,Zuber
ज़ुब्बैर,1,ज़ुब्बैर,Jubbair
जाउल,1,जाउल,Joul
जाकिर,3,जाकिर,Jakir
जाकीर,5,जाकीर,Jakir
जान,12,जान,Jan
जानकी,1,जानकी,Janaki
जानखाँ,1,जानखाँ,Janakhan
जानी,1,जानी,Jani
जानीब,1,जानीब,Janib
जाफर,2,जाफर,Jaffer
जाबिद,8,जाबिद,Jabid
जाबिर,6,जाबिर,Jabir
जाबीद,2,जाबीद,Jabid
जाबीर,5,जाबीर,Jabir
जाबेद,2,जाबेद,Jabed
जाब्बार,1,जाब्बार,Jabbar
जाम,3,जाम,Jam
जामा,2,जामा,Jama
जारवंशी,1,जारवंशी,Jaravanshi
जाविद,1,जाविद,Javid
जाविर,4,जाविर,Javir
जावीद,3,जावीद,Javid
जावीर,3,जावीर,Javir
जावेद,31,जावेद,Javed
जासमीन,1,जासमीन,Jasmin
जासिम,9,जासिम,Jasim
जासीम,1,जासीम,Jasim
जाहिद,28,जाहिद,Jahid
जाहिर,5,जाहिर,Jahir
जाहीद,4,जाहीद,Jaheed
जाहीर,2,जाहीर,Jahir
जाहॉगीर,1,जाहॉगीर,Jahaugir
जिंता,1,जिंता,Jinta
जिनता,1,जिनता,Jinta
जिन्‍नाह,1,जिन्नाह,Jinnah
जिब्राईल,1,जिब्राईल,Jibrail
जिया,1,जिया,Jiya
जियाउदीन,1,जियाउदीन,Jiaudin
जियाउद्दीन,2,जियाउद्दीन,Jiauddin
जियाउरहमान,1,जियाउरहमान,Jiaurahman
जियादीन,1,जियादीन,Jiadin
जिलाना,1,जिलाना,Jilana
जिलानी,21,जिलानी,Jilani
जिव्दीन,1,जिव्दीन,Jivdin
जी,14,जी,Ji
जीतू,1,जीतू,Jithu
जीलानी,7,जीलानी,Jilani
जीशान,1,जीशान,Jishan
जुनख,1,जुनख,Junakh
जुनाव,2,जुनाव,Junav
जुनेद,3,जुनेद,Juned
जुनैद,8,जुनैद,Junaid
जुन्नु,3,जुन्नु,Junnu
जुबैर,8,जुबैर,Jubair
जुमन,3,जुमन,Juman
जुमाई,1,जुमाई,Jumai
जुमाय,1,जुमाय,Jumay
जुम्मन,3,जुम्मन,Jumman
जुलफकार,1,जुलफकार,Julfaqar
जुलफ़कार,1,जुलफ़कार,Julfaqar
जुलफैकर,1,जुलफैकर,Julfacker
जुल्जार,1,जुल्जार,Juljar
जुल्फकार,3,जुल्फकार,Julfacar
जूनाद,1,जूनाद,Junad
जेयाअहमद,1,जेयाअहमद,Jeaahmad
जेयाउद्दीन,1,जेयाउद्दीन,Jeyauddin
जेवर,1,जेवर,Jever
जैटन,1,जैटन,Jaitan
जैनुदीन,1,जैनुदीन,Jainudeen
जैनुल,9,जैनुल,Jainul
जैनूल,1,जैनूल,Jainool
जैश,1,जैश,Jaish
जैस,5,जैस,Jais
जोगी,2,जोगी,Jogee
जोनल,1,जोनल,Jonal
जोनेघ,1,जोनेघ,Joneigh
जोरह,1,जोरह,Jorah
जोहा,1,जोहा,Joha
जौधरी,1,जौधरी,Jaudhry
जौसैफ,1,जौसैफ,Jousaif
जौहर,7,जौहर,Jauhar
जौहरी,2,जौहरी,Johari
ज्मों,1,ज्मों,Jmon
ज्याउद्ीन,1,ज्याउद्ीन,Jyaudni
ज्वार,1,ज्वार,Jvar
झज्ञ,1,झज्ञ,Jhajn
झा,47,झा,Jha
झां,1,झां,Jhan
झु,1,झु,Jhu
झुला,3,झुला,Jhula
टंडन,1,टंडन,Tandon
टण्डन,1,टण्डन,Tandan
टती,1,टती,Tati
टसाव,2,टसाव,Tasav
टहल,1,टहल,Tahal
टाकुर,1,टाकुर,Takur
टुचौहान,1,टुचौहान,Tuchouhan
टुडू,24,टुडू,Tudu
टुमहतो,1,टुमहतो,Tumhato
टुरिया,1,टुरिया,Turiya
टुल्‍्ला,1,टुल््ला,Tulla
टूडू,2,टूडू,Todo
टूल,1,टूल,Tool
टेलर,60,टेलर,Taylor
टेलर्स,1,टेलर्स,Tellars
टेलर्‌,4,टेलर्,Tellar
टैलर,9,टैलर,Tailor
टोला,1,टोला,Tola
टौली,1,टौली,Tauli
ट्ए,1,ट्ए,Tae
ठ,1,ठ,Th
ठकुदमार,1,ठकुदमार,Thakudmar
ठकुर,4,ठकुर,Thakur
ठठेरा,44,ठठेरा,Thathera
ठठैरा,34,ठठैरा,Thathaira
ठतेरा,1,ठतेरा,Thatera
ठफरोस,1,ठफरोस,Thafaros
ठमहतों,1,ठमहतों,Thamahaton
ठमुदीन,1,ठमुदीन,Thamudeen
ठराजवंशी,1,ठराजवंशी,Tharajavanshi
ठाकी,1,ठाकी,Thaki
ठाकुर,2993,ठाकुर,Thakur
ठाकुरी,2,ठाकुरी,Thakuri
ठाकुर्र,1,ठाकुर्र,Thakurra
ठाकूर,39,ठाकूर,Thakoor
ठाकृर,4,ठाकृर,Thakrir
ठाकृूर,2,ठाकृूर,Thakriru
ठाठेरा,1,ठाठेरा,Thathera
ठासाव,1,ठासाव,Thasav
ठि,6,ठि,Thi
ठि.0,1,ठि,Thi
ठिएंसह,2,ठिएंसह,Thienseh
ठिएसंह,16,ठिएसंह,Thiesanh
ठिएसह,17,ठिएसह,Thiesah
ठिसंह,3,ठिसंह,Thisanh
ठीमेदार,1,ठीमेदार,Thimedar
ठीयादव,1,ठीयादव,Theeyadav
ठु,1,ठु,Thu
ठु0कुमार,2,ठुकुमार,Thukumar
ठुअंसारी,1,ठुअंसारी,Thuansari
ठुअली,1,ठुअली,Thuali
ठुकुमार,1,ठुकुमार,Thukumar
ठुचौधघरी,1,ठुचौधघरी,Thuchoudhaghari
ठुपंडीत,1,ठुपंडीत,Thupandit
ठुपासवाण,1,ठुपासवाण,Thupasavan
ठुप्रसाद,5,ठुप्रसाद,Thuprasad
ठुयादव,1,ठुयादव,Thuadav
ठुरविदास,1,ठुरविदास,Thuravidas
ठुराजवंशी,1,ठुराजवंशी,Thurajavanshi
ठुराम,1,ठुराम,Thuram
ठे,1,ठे,The
ठेकुमार,1,ठेकुमार,Thekumar
ठेतलत,1,ठेतलत,Thetlat
ठेयादव,1,ठेयादव,Theyadav
ठेसिंह,1,ठेसिंह,Thesingh
ड़ौम,1,ड़ौम,Doum
डीवी,1,डीवी,Dv
डीह,2,डीह,Dih
डेनिश,1,डेनिश,Denish
डेय,1,डेय,Dey
डॉम,18,डॉम,Dom
डोम,78,डोम,Dome
डौम,3,डौम,Doum
ड्राइवर,5,ड्राइवर,Driver
ढफाली,2,ढफाली,Dhafali
ण्सिंह,1,ण्सिंह,Nsingh
त,3,त,Ta
त#00085,1,त#,Ta#
तंछति,1,तंछति,Tanchhati
तंछाति,8,तंछाति,Tanchhati
तंठाति,2,तंठाति,Tanthati
तंठ्ाति,2,तंठ्ाति,Tanthati
तंणाति,1,तंणाति,Tannati
तंत,1,तंत,Tant
तंतवा,2,तंतवा,Tantava
तंति,1,तंति,Tanti
तंती,2,तंती,Tanti
तंवीर,1,तंवीर,Tanveer
तंाति,1,तंाति,Tanati
तकिम,1,तकिम,Takim
तकीम,1,तकीम,Takim
तखोँ,1,तखोँ,Takhon
ततवा,22,ततवा,Tatava
ततवाँ,2,ततवाँ,Tatavan
ततवां,1,ततवां,Tatavan
ततौ,1,ततौ,Tatou
तदव,1,तदव,Tadav
तनती,6,तनती,Tanti
तनबीर,1,तनबीर,Tanbir
तनविर,1,तनविर,Tanvir
तनवीर,9,तनवीर,Tanveer
तबरेज,8,तबरेज,Tabrez
तबारक,10,तबारक,Tabarak
तब्रक,1,तब्रक,Tabrac
तमन्ना,1,तमन्ना,Tamanna
तमांझी,1,तमांझी,Tamanzi
तमिलो,1,तमिलो,Tamilo
तमीली,1,तमीली,Tamili
तमोली,27,तमोली,Tamoli
तमौली,13,तमौली,Tamauli
तयाव,1,तयाव,Tayav
तरुण,7,तरुण,Tarun
तरूण,4,तरूण,Tarun
तरून,2,तरून,Tarun
तवरेग,1,तवरेग,Tavreg
तवरेज,1,तवरेज,Tavrez
तवारक,3,तवारक,Tavarak
तवील,1,तवील,Tavil
तसलिम,3,तसलिम,Taslim
तसलीम,21,तसलीम,Taslim
तसीम,3,तसीम,Tasim
तस्लीम,17,तस्लीम,Tasleem
तहफीम,1,तहफीम,Tahfim
तहसीम,1,तहसीम,Tahaseem
ता,1,ता,Ta
ताँति,3,ताँति,Tanti
ताँती,39,ताँती,Tanti
तांएंती,1,तांएंती,Tanenti
तांति,10,तांति,Tanti
तांती,147,तांती,Tanti
ताई,1,ताई,Tai
ताकीर,1,ताकीर,Takir
ताज,5,ताज,Taj
ताटी,1,ताटी,Tati
तातरी,1,तातरी,Tatari
ताति,72,ताति,Tati
ताती,47,ताती,Tati
तारिक,1,तारिक,Tarik
तारीफ़,1,तारीफ़,Tarif
तालिब,1,तालिब,Talib
तालीब,1,तालीब,Talib
तालीम,1,तालीम,Talim
तासिम,1,तासिम,Tasim
तासिर,2,तासिर,Tasir
तासीम,3,तासीम,Tasim
ताहिर,14,ताहिर,Tahir
ताहीर,5,ताहीर,Taheer
ताहेर,1,ताहेर,Taher
तिकुन,1,तिकुन,Tikun
तिया,1,तिया,Tiya
तिरकी,1,तिरकी,Tiraki
तिरिया,1,तिरिया,Tiriya
तिर्ण,1,तिर्ण,Tirn
तिवारी,84,तिवारी,Tiwari
तिवीर,1,तिवीर,Tivir
तुतीय,6,तुतीय,Tutia
तुपपूरिया,1,तुपपूरिया,Tupapuriya
तुपूरिया,1,तुपूरिया,Tupuria
तुफानी,1,तुफानी,Tufani
तुफैल,1,तुफैल,Tufail
तुरया,3,तुरया,Turya
तुरिया,1244,तुरिया,Turiya
तुरियाँ,1,तुरियाँ,Turiyan
तुरियां,1,तुरियां,Turiyan
तुरिसा,1,तुरिसा,Turisa
तुरी,11,तुरी,Turi
तुरीय,84,तुरीय,Turiya
तुरीया,97,तुरीया,Turiya
तुरीयां,2,तुरीयां,Turiyan
तुरीयाश,1,तुरीयाश,Turiash
तुरुया,1,तुरुया,Turua
तुलसी,1,तुलसी,Tulsi
तुला,2,तुला,Tula
तुल्लाह,5,तुल्लाह,Tullah
तूतिया,4,तूतिया,Tutiya
तूरिया,22,तूरिया,Turiya
तेयाउद्दीन,1,तेयाउद्दीन,Teauddin
तेरिया,1,तेरिया,Teriya
तेशाम,1,तेशाम,Tesham
तैफुल,1,तैफुल,Taiful
तैयब,10,तैयब,Tayyib
तैयबअली,1,तैयबअली,Taiyabali
तैयव,1,तैयव,Taiyav
तैय्यब,1,तैय्यब,Taiyyab
तॉती,8,तॉती,Totti
तॉिती,1,तॉिती,Toity
तोफीक,1,तोफीक,Tofiq
तोहिर,1,तोहिर,Tohir
तोहीक,1,तोहीक,Tohik
तोहीद,2,तोहीद,Toheed
तौंती,1,तौंती,Taunti
तौएैफिक,1,तौएैफिक,Toueific
तौकीर,2,तौकीर,Taukir
तौढ़मन,1,तौढ़मन,Taudhaman
तौती,4,तौती,Tauti
तौफिक,3,तौफिक,Taufiq
तौफीक,3,तौफीक,Taufiq
तौरिया,3,तौरिया,Tauriya
तौवाब,1,तौवाब,Tauvab
तौसिफ़,1,तौसिफ़,Tausif
तौहिद,3,तौहिद,Tauhid
तौहीद,2,तौहीद,Tauheed
त्यागी,2,त्यागी,Tyagi
त्रिपाठी,57,त्रिपाठी,Tripathi
त्रिबेदी,1,त्रिबेदी,Tribedi
त्रिवेदी,2,त्रिवेदी,Trivedi
त्वारक,1,त्वारक,Tvarak
द,3,द,The
द.,1,द,The
द0कुमार,2,दकुमार,Dakumar
दत,3,दत,Dat
दत्त,2,दत्त,Dutta
दपासवान,1,दपासवान,Dapaswan
दप्रसाद,2,दप्रसाद,Daprasad
दम,1,दम,Dam
दमहाराज,1,दमहाराज,Damaharaj
दमांझी,2,दमांझी,Damanjhi
दयाल,28,दयाल,Dayal
दर,1,दर,Dar
दरखों,1,दरखों,Darkhon
दरजी,3,दरजी,Darji
दरविदास,1,दरविदास,Darvidas
दराज,2,दराज,Draz
दराजवंशी,1,दराजवंशी,Darajwanshi
दराम,1,दराम,Daram
दर्गी,2,दर्गी,Dargi
दर्जी,10,दर्जी,Darji
दर्शी,1,दर्शी,Darshi
दव,2,दव,Dava
दवाकर,1,दवाकर,Davakar
दव्कर्मा,1,दव्कर्मा,Davkarma
दस,34,दस,Dus
दस्‌,1,दस्,Dasa
दांगी,4,दांगी,Dangi
दाउद,1,दाउद,Dawood
दाउदी,1,दाउदी,Daudi
दानिश,5,दानिश,Danish
दारु,1,दारु,Daru
दारू,1,दारू,Daroo
दारूण,1,दारूण,Daroon
दाश,1,दाश,Dash
दास,3640,दास,Dass
दास्दास,1,दास्दास,Dasdas
दि,1,दि,Di
दिक्लीत,1,दिक्लीत,Diklit
दिक्षीत,2,दिक्षीत,Dixit
दिक्ीत,2,दिक्ीत,Dikti
दिन,2,दिन,Din
दिनकर,5,दिनकर,Dinkar
दिनेश,1,दिनेश,Dinesh
दिपक,4,दिपक,Dipak
दिलकस,1,दिलकस,Dilkas
दिलदार,1,दिलदार,Dildar
दिलशाद,4,दिलशाद,Dilshad
दिलावर,1,दिलावर,Dilawar
दिलीप,1,दिलीप,Dileep
दिवाकर,12,दिवाकर,Divakar
दिश्षीत,1,दिश्षीत,Dishshit
